MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,CANCELLED,CRS_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP
4,1,2,AS,SAN,CA,SEA,WA,1415,-3.00,0.00,0.00,-1,1723,0.00,188.00,1050.00,5
4,1,2,AS,SAN,CA,SEA,WA,1600,1.00,1.00,0.00,0,1908,0.00,188.00,1050.00,5
4,1,2,AS,SAN,CA,SEA,WA,1920,-7.00,0.00,0.00,-1,2229,0.00,189.00,1050.00,5
4,1,2,AS,SAT,TX,SEA,WA,0700,-18.00,0.00,0.00,-2,0925,0.00,265.00,1774.00,8
4,1,2,AS,SAT,TX,SEA,WA,1921,-5.00,0.00,0.00,-1,2157,0.00,276.00,1774.00,8
4,1,2,AS,SBA,CA,SEA,WA,1923,-11.00,0.00,0.00,-1,2200,0.00,157.00,908.00,4
4,1,2,AS,SBP,CA,SEA,WA,1931,-24.00,0.00,0.00,-2,2200,0.00,149.00,847.00,4
4,1,2,AS,SEA,WA,ABQ,NM,1759,-9.00,0.00,0.00,-1,2150,0.00,171.00,1180.00,5
4,1,2,AS,SEA,WA,ANC,AK,0826,0.00,0.00,0.00,0,1118,0.00,232.00,1448.00,6
4,1,2,AS,SEA,WA,ANC,AK,0955,0.00,0.00,0.00,0,1239,0.00,224.00,1448.00,6
4,1,2,AS,SEA,WA,ANC,AK,1133,-5.00,0.00,0.00,-1,1415,0.00,222.00,1448.00,6
4,1,2,AS,SEA,WA,ANC,AK,1246,-6.00,0.00,0.00,-1,1530,0.00,224.00,1448.00,6
4,1,2,AS,SEA,WA,ANC,AK,1350,-6.00,0.00,0.00,-1,1635,0.00,225.00,1448.00,6
4,1,2,AS,SEA,WA,ANC,AK,1450,-7.00,0.00,0.00,-1,1732,0.00,222.00,1448.00,6
4,1,2,AS,SEA,WA,ANC,AK,1551,14.00,14.00,0.00,0,1830,0.00,219.00,1448.00,6
4,1,2,AS,SEA,WA,ANC,AK,1759,-1.00,0.00,0.00,-1,2042,0.00,223.00,1448.00,6
