MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,TAXI_OUT,CANCELLED,CRS_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
4,1,2,4/1/2025 0:00,AS,MKE,WI,SEA,WA,1458,37,37,1,2,11,0,264,1694,7,,,,,
4,1,2,4/1/2025 0:00,AS,MSO,MT,SEA,WA,1435,-9,0,0,-1,16,0,88,389,2,,,,,
4,1,2,4/1/2025 0:00,AS,MSP,MN,SEA,WA,700,3,3,0,0,40,0,244,1399,6,,,,,
4,1,2,4/1/2025 0:00,AS,MSP,MN,SEA,WA,1502,-7,0,0,-1,47,0,235,1399,6,,,,,
4,1,2,4/1/2025 0:00,AS,MSY,LA,SEA,WA,700,-7,0,0,-1,18,0,320,2086,9,,,,,
4,1,2,4/1/2025 0:00,AS,MSY,LA,SEA,WA,1642,-4,0,0,-1,14,0,322,2086,9,,,,,
4,1,2,4/1/2025 0:00,AS,OAK,CA,SEA,WA,643,-7,0,0,-1,14,0,127,672,3,,,,,
4,1,2,4/1/2025 0:00,AS,OGG,HI,SEA,WA,800,-9,0,0,-1,15,0,345,2640,11,,,,,
4,1,2,4/1/2025 0:00,AS,OGG,HI,SEA,WA,1314,-10,0,0,-1,39,0,346,2640,11,,,,,
4,1,2,4/1/2025 0:00,AS,OGG,HI,SEA,WA,2044,11,11,0,0,33,0,348,2640,11,0,11,10,0,0
4,1,2,4/1/2025 0:00,AS,OKC,OK,SEA,WA,1459,-2,0,0,-1,16,0,241,1519,7,,,,,
4,1,2,4/1/2025 0:00,AS,OMA,NE,SEA,WA,1512,-6,0,0,-1,17,0,222,1368,6,,,,,
4,1,2,4/1/2025 0:00,AS,ONT,CA,SEA,WA,600,7,7,0,0,10,0,170,956,4,,,,,
4,1,2,4/1/2025 0:00,AS,ONT,CA,SEA,WA,1133,32,32,1,2,20,0,169,956,4,32,0,0,0,0
4,1,2,4/1/2025 0:00,AS,ORD,IL,SEA,WA,740,-9,0,0,-1,18,0,276,1721,7,,,,,
4,1,2,4/1/2025 0:00,AS,ORD,IL,SEA,WA,1000,-9,0,0,-1,18,0,283,1721,7,,,,,
4,1,2,4/1/2025 0:00,AS,ORD,IL,SEA,WA,1405,12,12,0,0,35,0,277,1721,7,,,,,
4,1,2,4/1/2025 0:00,AS,ORD,IL,SEA,WA,1753,0,0,0,0,24,0,281,1721,7,,,,,
4,1,2,4/1/2025 0:00,AS,ORD,IL,SEA,WA,1916,-5,0,0,-1,27,0,284,1721,7,,,,,
4,1,2,4/1/2025 0:00,AS,PAE,WA,HNL,HI,700,50,50,1,3,14,0,386,2694,11,43,0,0,0,0
4,1,2,4/1/2025 0:00,AS,PAE,WA,LAS,NV,2059,-10,0,0,-1,9,0,150,894,4,,,,,
4,1,2,4/1/2025 0:00,AS,PAE,WA,PHX,AZ,712,-11,0,0,-1,17,0,168,1133,5,,,,,
4,1,2,4/1/2025 0:00,AS,PAE,WA,PHX,AZ,1436,15,15,1,1,14,0,167,1133,5,,,,,
4,1,2,4/1/2025 0:00,AS,PDX,OR,SEA,WA,600,8,8,0,0,14,0,59,129,1,,,,,
4,1,2,4/1/2025 0:00,AS,PDX,OR,SEA,WA,1150,-1,0,0,-1,18,0,58,129,1,,,,,
4,1,2,4/1/2025 0:00,AS,PDX,OR,SEA,WA,1332,30,30,1,2,17,0,58,129,1,10,0,0,0,15
4,1,2,4/1/2025 0:00,AS,PHL,PA,SEA,WA,720,-3,0,0,-1,14,0,360,2378,10,,,,,
4,1,2,4/1/2025 0:00,AS,PHL,PA,SEA,WA,1746,-10,0,0,-1,26,0,370,2378,10,,,,,
4,1,2,4/1/2025 0:00,AS,PHX,AZ,PAE,WA,1031,20,20,1,1,21,0,189,1133,5,,,,,
4,1,2,4/1/2025 0:00,AS,PHX,AZ,PAE,WA,2050,-8,0,0,-1,18,0,189,1133,5,,,,,
4,1,2,4/1/2025 0:00,AS,PHX,AZ,SEA,WA,515,-1,0,0,-1,20,0,190,1107,5,,,,,
4,1,2,4/1/2025 0:00,AS,PHX,AZ,SEA,WA,600,1,1,0,0,16,0,186,1107,5,,,,,
4,1,2,4/1/2025 0:00,AS,PHX,AZ,SEA,WA,700,-9,0,0,-1,19,0,190,1107,5,,,,,
4,1,2,4/1/2025 0:00,AS,PHX,AZ,SEA,WA,941,-9,0,0,-1,22,0,189,1107,5,,,,,
4,1,2,4/1/2025 0:00,AS,PHX,AZ,SEA,WA,1149,-2,0,0,-1,16,0,186,1107,5,,,,,
4,1,2,4/1/2025 0:00,AS,PHX,AZ,SEA,WA,1359,4,4,0,0,16,0,189,1107,5,,,,,
4,1,2,4/1/2025 0:00,AS,PHX,AZ,SEA,WA,1508,35,35,1,2,23,0,193,1107,5,0,0,0,0,30
4,1,2,4/1/2025 0:00,AS,PHX,AZ,SEA,WA,1706,2,2,0,0,18,0,189,1107,5,,,,,
4,1,2,4/1/2025 0:00,AS,PHX,AZ,SEA,WA,1849,-16,0,0,-2,23,0,191,1107,5,,,,,
4,1,2,4/1/2025 0:00,AS,PIT,PA,SEA,WA,1936,-4,0,0,-1,11,0,322,2125,9,,,,,
4,1,2,4/1/2025 0:00,AS,PSC,WA,SEA,WA,838,-12,0,0,-1,18,0,67,172,1,,,,,
4,1,2,4/1/2025 0:00,AS,PSP,CA,SEA,WA,900,30,30,1,2,13,0,173,987,4,30,0,1,0,0
4,1,2,4/1/2025 0:00,AS,PSP,CA,SEA,WA,1101,1,1,0,0,13,0,173,987,4,,,,,
4,1,2,4/1/2025 0:00,AS,PSP,CA,SEA,WA,1348,-17,0,0,-2,10,0,174,987,4,,,,,
4,1,2,4/1/2025 0:00,AS,PSP,CA,SEA,WA,1540,1,1,0,0,20,0,174,987,4,,,,,
